task_id,source,image_id,upload_url,ai_path,ai_path_en,has_human_ref,human_ref_path,agreement_type,ann_A_action,ann_A_path,ann_A_path_en,ann_A_uncertain,ann_A_uncertain_reason,ann_B_action,ann_B_path,ann_B_path_en,ann_B_uncertain,ann_B_uncertain_reason,ann_C_action,ann_C_path,ann_C_path_en,ann_C_uncertain,ann_C_uncertain_reason,ann_D_action,ann_D_path,ann_D_path_en,ann_D_uncertain,ann_D_uncertain_reason,ann_E_action,ann_E_path,ann_E_path_en,ann_E_uncertain,ann_E_uncertain_reason,rev1_id,rev1_path,rev1_path_en,rev1_source,rev1_note,rev2_id,rev2_path,rev2_path_en,rev2_source,rev2_note
T0056,780,LS Taxonomy- Images-1-19/images/image_0056.png,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/a4f4cab9-fbb2-4300-a4a9-c6c37217db76/image_0056.png,,,true,旅游/人文风光/建筑,REVIEW_SUBLEVEL,OVERRIDE,旅游/人文风光/城市,Travel/Cultural Scenery/City,false,,OVERRIDE,旅游/人文风光/建筑,Travel/Cultural Scenery/Architecture,false,,,,,,,OVERRIDE,旅游/热门目的地/亚洲,Travel/Popular Destinations/Asia,false,,,,,,,Sandy(R2),旅游/热门目的地/亚洲,Travel/Popular Destinations/Asia,PICK_ANN_D,"to be more exact, in level 4 should have 'Malaysia'",Upasna(R1),旅游/人文风光/建筑,Travel/Cultural Scenery/Architecture,PICK_HUMAN,
T0085,780,LS Taxonomy- Images-1-19/images/image_0085.png,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/e53ad16a-672e-4939-957d-521b8384e161/image_0072.png,,,true,,REVIEW_SUBLEVEL,OVERRIDE,旅游/人文风光/城市,Travel/Cultural Scenery/City,false,,,,,,,OVERRIDE,旅游/航拍风光,Travel/Aerial Scenery,false,,OVERRIDE,旅游/热门目的地,Travel/Popular Destinations,false,,,,,,,Sandy(R2),旅游/热门目的地/亚洲,Travel/Popular Destinations/Asia,NEW_PATH,"to be more exact, in level 4 should have [UAE]",Upasna(R1),旅游/航拍风光,Travel/Aerial Scenery,PICK_ANN_C,
T0137,780,LS Taxonomy- Images-1-19/images/image_0137.png,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/9d5a90aa-493c-4660-9a6b-8ca843ef8074/image_0137.png,,,true,,REVIEW_SUBLEVEL,,,,,,OVERRIDE,旅游/自然风光/草原,Travel/Natural Scenery/Grassland,false,,OVERRIDE,旅游/航拍风光,Travel/Aerial Scenery,false,,,,,,,OVERRIDE,旅游/自然风光/丘陵,Travel/Natural Scenery/Hills,false,,Sandy(R2),旅游/自然风光/丘陵,Travel/Natural Scenery/Hills,PICK_ANN_E,,Upasna(R1),旅游/自然风光/草原,Travel/Natural Scenery/Grassland,PICK_ANN_B,
T0145,780,LS Taxonomy- Images-1-19/images/image_0145.png,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/497eea56-cc36-4591-a8cd-b61c3a5afec0/image_0065.png,绘画/插画,Painting/Illustration,true,影视/剧集/英美剧/科幻电视剧,REVIEW_L1,,,,,,,,,,,ACCEPT,绘画/插画,Painting/Illustration,false,,OVERRIDE,影视/剧集/英美剧/悬疑电视剧,Film & TV/TV Series/British and American Dramas/Suspense TV Series,false,,OVERRIDE,影视/剧集/英美剧/科幻电视剧,Film & TV/TV Series/British and American Dramas/Science Fiction TV Series,false,,Sandy(R2),绘画/插画,Painting/Illustration,PICK_ANN_C,,Upasna(R1),影视/剧集/英美剧/科幻电视剧,Film & TV/TV Series/British and American Dramas/Science Fiction TV Series,PICK_HUMAN,
T0199,780,LS Taxonomy- Images-1-19/images/image_0199.png,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/0c548375-4dc2-43f2-97c6-b2869029176e/image_0013.png,,,true,,REVIEW_SUBLEVEL,OVERRIDE,旅游/人文风光/博物馆,Travel/Cultural Scenery/Museum,false,,OVERRIDE,旅游/人文风光/城市,Travel/Cultural Scenery/City,false,,,,,,,OVERRIDE,旅游/人文风光/建筑,Travel/Cultural Scenery/Architecture,false,,,,,,,Sandy(R2),旅游/人文风光/建筑,Travel/Cultural Scenery/Architecture,PICK_ANN_D,,Upasna(R1),旅游/人文风光/城市,Travel/Cultural Scenery/City,PICK_ANN_B,
T0273,780,LS Taxonomy- Images-1-19/images/image_0273.png,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/9789b940-aec4-4c25-84fe-882c5c628e2f/image_0273.png,,,true,,REVIEW_UNCERTAIN,,,,,,OVERRIDE,静物/文具/笔,Still Life/Stationery/Pen,false,,,,,,,UNCERTAIN,绘画/素描,Painting/Sketch,true,"Not sure if this image is in painting category. Since painting category should include the image of art painting (have visual appeal) not the tools.Meanwhile in art category, also not having tools in 2nd or 3rd category. Based on these consideration, closest category is Painting and sketch. But furthermore these image is not classifed as a painting in painting and sketch category,  because the visual is just ordinary (not meet painting visual standard)  in my opinion",OVERRIDE,静物/文具,Still Life/Stationery,false,,Sandy(R2),静物/文具,Still Life/Stationery,PICK_ANN_E,"to be more exact, in Level 3 can add new 'Pencil'",Upasna(R1),静物/文具/笔,Still Life/Stationery/Pen,PICK_ANN_B,
T0373,780,LS Taxonomy- Images-1-19/images/image_0373.png,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/3f3ede95-a0c6-42ca-a912-99ec3600afa3/image_0239.png,,,true,,REVIEW_SUBLEVEL,,,,,,OVERRIDE,植卉/花卉/雏菊,Flora/Flowers/Daisy,false,,,,,,,OVERRIDE,植卉/花卉,Flora/Flowers,false,,OVERRIDE,植卉/花卉/菊花,Flora/Flowers/Chrysanthemum,false,,Sandy(R2),植卉/花卉/藏红花,Flora/Flowers/Saffron,NEW_PATH,,Upasna(R1),植卉/花卉,Flora/Flowers,PICK_ANN_D,
T0492,780,LS Taxonomy- Images-1-19/images/image_0492.png,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/65b42e7e-626d-4181-a7f5-be378b8bb1e4/image_0492.png,,,true,旅游/人文风光/城市,REVIEW_SUBLEVEL,OVERRIDE,旅游/人文风光/城市,Travel/Cultural Scenery/City,false,,,,,,,OVERRIDE,旅游/航拍风光,Travel/Aerial Scenery,false,,,,,,,OVERRIDE,旅游/热门目的地/亚洲,Travel/Popular Destinations/Asia,false,,Sandy(R2),旅游/热门目的地/亚洲,Travel/Popular Destinations/Asia,PICK_ANN_E,"to be more exact, in level 4 can add  'UAE'",Upasna(R1),旅游/人文风光/城市,Travel/Cultural Scenery/City,PICK_HUMAN,
T0568,780,LS Taxonomy- Images-1-19/images/image_0568.png,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/0dc23254-26e1-4a3e-9fbe-55fde15c7e42/image_0568.png,,,true,,REVIEW_UNCERTAIN,UNCERTAIN,人物,People,true,There is no matchstick in the tree,UNCERTAIN,动物,Animal,true,It should comes under macro photography,UNCERTAIN,,,true,it should be micro photography,,,,,,,,,,,Sandy(R2),,,FLAGGED,Still life/Daily Necessities/Match,Upasna(R1),,,FLAGGED,Photography - Macro photography
T0590,780,LS Taxonomy- Images-1-19/images/image_0590.png,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/55e7f5d4-e8ed-4fce-b02c-23f30ec1f7e4/image_0590.png,,,true,,REVIEW_SUBLEVEL,OVERRIDE,旅游/人文风光/建筑,Travel/Cultural Scenery/Architecture,false,,OVERRIDE,旅游/人文风光/宫殿,Travel/Cultural Scenery/Palace,false,,,,,,,OVERRIDE,旅游/人文风光/村落,Travel/Cultural Scenery/Village,false,,,,,,,Sandy(R2),旅游/人文风光/宫殿,Travel/Cultural Scenery/Palace,PICK_ANN_B,,Upasna(R1),旅游/人文风光/村落,Travel/Cultural Scenery/Village,PICK_ANN_D,
T0630,780,LS Taxonomy- Images-1-19/images/image_0630.png,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/ab8cf328-1070-43ac-9c05-029eabc5998c/image_0630.png,影视/电影/欧美电影/奇幻电影/指环王系列电影,Film & TV/Films/European and American Movies/Fantasy Movie/Lord of the Rings Movie Series,true,影视/剧集/英美剧/奇幻电视剧,REVIEW_SUBLEVEL,MODIFY,影视/剧集/英美剧/奇幻电视剧,Film & TV/TV Series/British and American Dramas/Fantasy TV Series,false,,,,,,,ACCEPT,影视/电影/欧美电影/奇幻电影/指环王系列电影,Film & TV/Films/European and American Movies/Fantasy Movie/Lord of the Rings Movie Series,false,,MODIFY,影视/电影/欧美电影/奇幻电影,Film & TV/Films/European and American Movies/Fantasy Movie,false,,,,,,,Sandy(R2),影视/电影/欧美电影/奇幻电影,Film & TV/Films/European and American Movies/Fantasy Movie,PICK_ANN_D,"to be more exact, in level 5 can add 'Game of Thrones'",Upasna(R1),影视/剧集/英美剧/奇幻电视剧,Film & TV/TV Series/British and American Dramas/Fantasy TV Series,PICK_HUMAN,
T0726,780,LS Taxonomy- Images-1-19/images/image_0726.png,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/3ef07789-5220-4c43-8874-983305ddcff3/image_0366.png,,,true,,REVIEW_SUBLEVEL,OVERRIDE,旅游/自然风光/山,Travel/Natural Scenery/Mountain,false,,,,,,,OVERRIDE,旅游/自然风光/瀑布,Travel/Natural Scenery/Waterfall,false,,,,,,,OVERRIDE,旅游/自然风光/丘陵,Travel/Natural Scenery/Hills,false,,Sandy(R2),旅游/自然风光/瀑布,Travel/Natural Scenery/Waterfall,PICK_ANN_C,,Upasna(R1),旅游/自然风光/丘陵,Travel/Natural Scenery/Hills,PICK_ANN_E,
T0796,1000,1126020200085,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202602/02/1e0df0504eb4063fb52aab27cb43b4a7.png,植卉/绿植/树木,Flora/Green Plants/Trees,false,,REVIEW_UNCERTAIN,,,,,,ACCEPT,植卉/绿植/树木,Flora/Green Plants/Trees,false,,ACCEPT,植卉/绿植/树木,Flora/Green Plants/Trees,false,,,,,,,UNCERTAIN,植卉/绿植/树木,Flora/Green Plants/Trees,true,"The KV is the gift itself, not the tree. But there's no category for this",Sandy(R2),,,FLAGGED,Still Life/Ornaments/Gift; L3 add new 'Gift',Upasna(R1),,,FLAGGED,Still life - Gifting
T0886,1000,1126013000558,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202602/02/ca5c10dfd4078f7278de6e8143d53add.png,影视/纪录片/自然纪录片,Film & TV/Documentary/Nature Documentaries,false,,REVIEW_L1,ACCEPT,影视/纪录片/自然纪录片,Film & TV/Documentary/Nature Documentaries,false,,OVERRIDE,动物/鸟类/蜂鸟,Animal/Birds/Hummingbird,false,,,,,,,OVERRIDE,动物/鸟类,Animal/Birds,false,,,,,,,Sandy(R2),动物/鸟类/蜂鸟,Animal/Birds/Hummingbird,PICK_ANN_B,,Upasna(R1),动物/鸟类,Animal/Birds,PICK_ANN_D,
T0890,1000,1126013000546,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202602/02/6a18ed7ce7cee612d511584479553f59.png,,,false,,REVIEW_SUBLEVEL,,,,,,OVERRIDE,美食/甜点小吃/蛋糕,Food/Dessert Snacks/Cake,false,,OVERRIDE,美食/甜点小吃/和果子,Food/Dessert Snacks/Japanese Confectionery,false,,OVERRIDE,美食/甜点小吃,Food/Dessert Snacks,false,,,,,,,Sandy(R2),美食/甜点小吃/巧克力,Food/Dessert Snacks/Chocolate,NEW_PATH,,Upasna(R1),美食/甜点小吃,Food/Dessert Snacks,PICK_ANN_D,
T0922,1000,84043,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202602/02/77fe683433f075afbb9612a304f22623.png,,,false,,REVIEW_L1,OVERRIDE,旅游/人文风光/缆车,Travel/Cultural Scenery/Cable Car,false,,,,,,,OVERRIDE,座驾/巴士,Vehicles/Bus,false,,,,,,,OVERRIDE,旅游/人文风光/有轨电车,Travel/Cultural Scenery/Tram,false,,Sandy(R2),旅游/人文风光/有轨电车,Travel/Cultural Scenery/Tram,PICK_ANN_E,,Upasna(R1),旅游/人文风光/缆车,Travel/Cultural Scenery/Cable Car,PICK_ANN_A,
T0942,1000,84198,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202602/02/cfdcf8ee5d4a0157cb97550de06815ed.png,,,false,,REVIEW_UNCERTAIN,,,,,,UNCERTAIN,美食/甜点小吃,Food/Dessert Snacks,true,Sugar is not in category,UNCERTAIN,,,true,should be sugar under food,OVERRIDE,美食/甜点小吃,Food/Dessert Snacks,false,,,,,,,Sandy(R2),,,FLAGGED,add new taxo in L2 &L3: Food/Raw materials/Sugar,Upasna(R1),美食/甜点小吃,Food/Dessert Snacks,PICK_ANN_D,
T0986,1000,84003,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202602/02/dd708d3ddd0b8af7e43ad3c3bf718842.png,植卉/花卉/郁金香,Flora/Flowers/Tulip,false,,REVIEW_L1,OVERRIDE,美食/饮品/奶茶,Food/Drinks/Milk Tea,false,,,,,,,ACCEPT,植卉/花卉/郁金香,Flora/Flowers/Tulip,false,,,,,,,OVERRIDE,美食/料理/粥,Food/Cuisine/Porridge,false,,Sandy(R2),美食/饮品/果蔬汁,Food/Drinks/Fruit and Vegetable Juice,NEW_PATH,,Upasna(R1),美食/饮品/奶茶,Food/Drinks/Milk Tea,PICK_ANN_A,
T1005,1000,260202190198,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202602/02/543138cc48778cfff9f663837c9f2761.png,,,false,,REVIEW_UNCERTAIN,UNCERTAIN,植卉/绿植,Flora/Green Plants,true,No Anemone present in the flower tree,,,,,,,,,,,OVERRIDE,植卉/花卉,Flora/Flowers,false,,OVERRIDE,植卉/花卉/虞美人,Flora/Flowers/Poppy,false,,Sandy(R2),植卉/花卉/虞美人,Flora/Flowers/Poppy,PICK_ANN_E,,Upasna(R1),植卉/花卉,Flora/Flowers,PICK_ANN_D,
