task_id,source,image_id,upload_url,ai_path,ai_path_en,has_human_ref,human_ref_path,agreement_type,ann_A_action,ann_A_path,ann_A_path_en,ann_A_uncertain,ann_A_uncertain_reason,ann_B_action,ann_B_path,ann_B_path_en,ann_B_uncertain,ann_B_uncertain_reason,ann_C_action,ann_C_path,ann_C_path_en,ann_C_uncertain,ann_C_uncertain_reason,ann_D_action,ann_D_path,ann_D_path_en,ann_D_uncertain,ann_D_uncertain_reason,ann_E_action,ann_E_path,ann_E_path_en,ann_E_uncertain,ann_E_uncertain_reason,rev1_id,rev1_path,rev1_path_en,rev1_source,rev1_note,rev2_id,rev2_path,rev2_path_en,rev2_source,rev2_note
T1009,1000,260202190194,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202602/02/00d3743172403700b6a830611dd15d0b.jpg,旅游/自然风光/天空,Travel/Natural Scenery/Sky,false,,REVIEW_UNCERTAIN,UNCERTAIN,植卉/花卉,Flora/Flowers,true,No Cosmos flower in the tree,,,,,,,,,,,ACCEPT,旅游/自然风光/天空,Travel/Natural Scenery/Sky,false,,OVERRIDE,植卉/花卉/雏菊,Flora/Flowers/Daisy,false,,Sandy(R2),植卉/花卉/雏菊,Flora/Flowers/Daisy,PICK_ANN_E,,Upasna(R1),植卉/花卉,Flora/Flowers,PICK_ANN_A,
T1089,1000,260131130097,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202602/01/01c7f30aace7462f18308450ea2f9460.jpg,,,false,,REVIEW_UNCERTAIN,UNCERTAIN,旅游/自然风光,Travel/Natural Scenery,true,Not able to place this image anywhere,OVERRIDE,旅游/人文风光/建筑,Travel/Cultural Scenery/Architecture,false,,,,,,,,,,,,OVERRIDE,艺术/展览/装置艺术,Art/Exhibition/Installation Art,false,,Sandy(R2),旅游/人文风光/人造设施,Travel/Cultural Scenery/Man-made Facilities,NEW_PATH,,Upasna(R1),旅游/人文风光/建筑,Travel/Cultural Scenery/Architecture,PICK_ANN_B,
T1090,1000,260131130096,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202602/01/82ceae95b8575d65861b06af6f67f017.jpg,,,false,,REVIEW_L1,OVERRIDE,植卉/绿植/树木,Flora/Green Plants/Trees,false,,,,,,,OVERRIDE,旅游/自然风光/日落,Travel/Natural Scenery/Sunset,false,,OVERRIDE,旅游/自然风光/雪林,Travel/Natural Scenery/Snow Forest,false,,,,,,,Sandy(R2),植卉/绿植/树木,Flora/Green Plants/Trees,PICK_ANN_A,,Upasna(R1),旅游/自然风光/日落,Travel/Natural Scenery/Sunset,PICK_ANN_C,
T1096,1000,260131130088,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202602/01/f92584f4b9ee1dae4c48e8a90c0c0cbd.jpg,,,false,,REVIEW_SUBLEVEL,OVERRIDE,旅游/人文风光/纪念碑,Travel/Cultural Scenery/Monument,false,,,,,,,,,,,,OVERRIDE,旅游/自然风光/高原,Travel/Natural Scenery/Plateau,false,,OVERRIDE,旅游/热门目的地/亚洲,Travel/Popular Destinations/Asia,false,,Sandy(R2),旅游/自然风光/高原,Travel/Natural Scenery/Plateau,PICK_ANN_D,,Upasna(R1),旅游/人文风光/纪念碑,Travel/Cultural Scenery/Monument,PICK_ANN_A,
T1107,1000,260131130074,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202602/01/5f7d0eb94ef1836bf9459c0dc5be503b.jpg,,,false,,REVIEW_L1,,,,,,,,,,,OVERRIDE,动物/啮齿动物/松鼠,Animal/Rodents/Squirrel,false,,OVERRIDE,动物/啮齿动物/老鼠,Animal/Rodents/Mouse,false,,OVERRIDE,萌宠/仓鼠,Cute Pet/Hamster,false,,Sandy(R2),萌宠/仓鼠,Cute Pet/Hamster,PICK_ANN_E,,Upasna(R1),动物/啮齿动物/松鼠,Animal/Rodents/Squirrel,PICK_ANN_C,
T1127,1000,260131130051,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202602/01/e05ae1066704d0eef9a4c120032e09b4.jpg,旅游/自然风光/雪花,Travel/Natural Scenery/Snowflake,false,,REVIEW_SUBLEVEL,,,,,,ACCEPT,旅游/自然风光/雪花,Travel/Natural Scenery/Snowflake,false,,MODIFY,旅游/航拍风光,Travel/Aerial Scenery,false,,,,,,,MODIFY,旅游/自然风光/雪地,Travel/Natural Scenery/Snow,false,,Sandy(R2),旅游/自然风光/雪地,Travel/Natural Scenery/Snow,PICK_ANN_E,,Upasna(R1),旅游/自然风光/雪花,Travel/Natural Scenery/Snowflake,PICK_ANN_B,
T1148,1000,260131130028,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202602/01/012ab90ce17021cda2e5e383acc4d719.jpg,,,false,,REVIEW_UNCERTAIN,OVERRIDE,旅游/人文风光/盐田,Travel/Cultural Scenery/Salt Field,false,,,,,,,UNCERTAIN,旅游/热门目的地,Travel/Popular Destinations,true,the place is in Abu dhabi,,,,,,OVERRIDE,艺术/展览/装置艺术,Art/Exhibition/Installation Art,false,,Sandy(R2),旅游/人文风光/人造设施,Travel/Cultural Scenery/Man-made Facilities,NEW_PATH,,Upasna(R1),艺术/展览/装置艺术,Art/Exhibition/Installation Art,PICK_ANN_E,
T1222,1000,1126013000138,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/2bdafa9618d139ca6a8d1666a9e34d49.png,,,false,,REVIEW_UNCERTAIN,UNCERTAIN,艺术,Art,true,Could not find a suitable tag for this image,,,,,,OVERRIDE,艺术/雕塑,Art/Sculpture,false,,,,,,,OVERRIDE,静物/摆件,Still Life/Ornaments,false,,Sandy(R2),静物/摆件,Still Life/Ornaments,PICK_ANN_E,,Upasna(R1),,,FLAGGED,Photography
T1233,1000,1126013000123,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/cb85f44243dff2d87155cb0744c05cff.png,静物/箱包/箱子,Still Life/Luggage/Box,false,,REVIEW_L1,ACCEPT,静物/箱包/箱子,Still Life/Luggage/Box,false,,,,,,,OVERRIDE,艺术/雕塑,Art/Sculpture,false,,,,,,,OVERRIDE,艺术/展览/装置艺术,Art/Exhibition/Installation Art,false,,Sandy(R2),艺术/雕塑,Art/Sculpture,PICK_ANN_C,,Upasna(R1),艺术/展览/装置艺术,Art/Exhibition/Installation Art,PICK_ANN_E,
T1268,1000,1126013000068,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/783be20a766ec445e215a5c7994988cc.png,,,false,,REVIEW_UNCERTAIN,UNCERTAIN,植卉/花卉,Flora/Flowers,true,This wild carrot (Daucus carota) flow is not there in the tree,OVERRIDE,植卉/花艺/插花,Flora/Floral Arrangement/Flower Arrangement,false,,OVERRIDE,植卉/花艺/插花,Flora/Floral Arrangement/Flower Arrangement,false,,,,,,,,,,,,Sandy(R2),植卉/花艺/插花,Flora/Floral Arrangement/Flower Arrangement,PICK_ANN_C,,Upasna(R1),植卉/花卉,Flora/Flowers,PICK_ANN_A,
T1284,1000,1126013000044,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/4cbf4bff01a47b6caea3d4ef2fa0168f.png,,,false,,REVIEW_UNCERTAIN,UNCERTAIN,美食/蔬菜/秋葵,Food/Vegetable/Okra,true,This vegetable is not present in the tree,,,,,,OVERRIDE,艺术/展览/艺术展,Art/Exhibition/Art Exhibition,false,,,,,,,OVERRIDE,美食/蔬菜/青菜,Food/Vegetable/Green Vegetables,false,,Sandy(R2),美食/蔬菜/甘蓝,Food/Vegetable/Cabbage,NEW_PATH,red cabbage,Upasna(R1),,,FLAGGED,Photography
T1288,1000,1126013000039,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/d7f80941f857e7db9351840d04712c9c.png,,,false,,REVIEW_L1,OVERRIDE,艺术/雕塑,Art/Sculpture,false,,,,,,,OVERRIDE,美食/蔬菜/洋葱,Food/Vegetable/Onion,false,,,,,,,OVERRIDE,美食/蔬菜,Food/Vegetable,false,,Sandy(R2),美食/蔬菜/洋葱,Food/Vegetable/Onion,PICK_ANN_C,,Upasna(R1),,,FLAGGED,Photography
T1311,1000,1126012900736,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/a90922ec379abcfd72e13b00e7e8bfbe.png,,,false,,REVIEW_UNCERTAIN,,,,,,UNCERTAIN,家居/浴室,Home/Bathroom,true,we don't have Soap category,OVERRIDE,家居/浴室,Home/Bathroom,false,,OVERRIDE,静物/生活用品,Still Life/Daily Necessities,false,,,,,,,Sandy(R2),静物/生活用品,Still Life/Daily Necessities,PICK_ANN_D,"to be more exact, add new taxo in L3: Soap",Upasna(R1),,,FLAGGED,Photography
T1480,1000,1126012900199,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/b55bff3fdd6be25ed3905757b7a086cd.png,,,false,,REVIEW_UNCERTAIN,UNCERTAIN,家居/家具,Home/Furniture,true,No picture frame in the tree,,,,,,OVERRIDE,艺术/雕塑,Art/Sculpture,false,,OVERRIDE,家居/家具,Home/Furniture,false,,,,,,,Sandy(R2),静物/摆件,Still Life/Ornaments,NEW_PATH,,Upasna(R1),,,FLAGGED,Photography
T1511,1000,260130100083,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/9c832b3f64188c8efd74396d8b48437b.png,美食/料理/创意料理,Food/Cuisine/Creative Cuisine,false,,REVIEW_L1,OVERRIDE,静物/生活用品/花瓶,Still Life/Daily Necessities/Vase,false,,ACCEPT,美食/料理/创意料理,Food/Cuisine/Creative Cuisine,false,,,,,,,,,,,,OVERRIDE,艺术/展览/装置艺术,Art/Exhibition/Installation Art,false,,Sandy(R2),艺术/展览/装置艺术,Art/Exhibition/Installation Art,PICK_ANN_E,,Upasna(R1),,,FLAGGED,Photography
T1540,1000,260130100050,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/ca04a40603851fc0d9a13c7f3a1b931c.png,影视/纪录片/自然纪录片,Film & TV/Documentary/Nature Documentaries,false,,REVIEW_UNCERTAIN,ACCEPT,影视/纪录片/自然纪录片,Film & TV/Documentary/Nature Documentaries,false,,UNCERTAIN,动物/鸟类,Animal/Birds,true,this bird is not in category,,,,,,,,,,,OVERRIDE,动物/鸟类/海鸥,Animal/Birds/Seagull,false,,Sandy(R2),动物/鸟类/海鸥,Animal/Birds/Seagull,PICK_ANN_E,,Upasna(R1),动物/鸟类,Animal/Birds,PICK_ANN_B,
T1572,1000,260130100018,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/b7aab83441184ce69bf61eacca0d721a.jpg,影视/纪录片/自然纪录片,Film & TV/Documentary/Nature Documentaries,false,,REVIEW_UNCERTAIN,,,,,,UNCERTAIN,动物,Animal,true,Seagull is not  in bird category,ACCEPT,影视/纪录片/自然纪录片,Film & TV/Documentary/Nature Documentaries,false,,,,,,,OVERRIDE,动物/鸟类/海鸥,Animal/Birds/Seagull,false,,Sandy(R2),动物/鸟类,Animal/Birds,NEW_PATH,"to be more exat, add taxo in L3: Animal/Birds/Pelican",Upasna(R1),动物/鸟类/海鸥,Animal/Birds/Seagull,PICK_ANN_E,
T1582,1000,260130100008,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/400d1ea898c4bc25e34ae7af802da553.jpg,影视/纪录片/自然纪录片,Film & TV/Documentary/Nature Documentaries,false,,REVIEW_L1,ACCEPT,影视/纪录片/自然纪录片,Film & TV/Documentary/Nature Documentaries,false,,,,,,,,,,,,OVERRIDE,动物/鸟类/鹦鹉,Animal/Birds/Parrot,false,,OVERRIDE,动物/鸟类/海鸥,Animal/Birds/Seagull,false,,Sandy(R2),影视/纪录片/自然纪录片,Film & TV/Documentary/Nature Documentaries,PICK_ANN_A,,Upasna(R1),动物/鸟类/海鸥,Animal/Birds/Seagull,PICK_ANN_E,
T1594,1000,83832,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/4a52545fa3ee6e81c09bd53a534a60d8.png,静物/摆件/篮子,Still Life/Ornaments/Basket,false,,REVIEW_UNCERTAIN,,,,,,ACCEPT,静物/摆件/篮子,Still Life/Ornaments/Basket,false,,UNCERTAIN,美食,Food,true,should be egg under food,,,,,,OVERRIDE,美食,Food,false,,Sandy(R2),美食,Food,PICK_ANN_C,"need to be more exact, add new taxo L2 L3: Food/Raw materials/Egg",Upasna(R1),,,FLAGGED,photography
T1655,1000,676516,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/b92d41079b3e0d69f28f4aa388cd7555.jpg,,,false,,REVIEW_UNCERTAIN,UNCERTAIN,动物/鸟类,Animal/Birds,true,White Pelicans is not present in our tree,,,,,,,,,,,OVERRIDE,动物/鸟类,Animal/Birds,false,,OVERRIDE,动物/鸟类/火烈鸟,Animal/Birds/Flamingo,false,,Sandy(R2),动物/鸟类,Animal/Birds,PICK_ANN_A,"need to be more exact, add new in L3: Animal/Birds/Pelican",Upasna(R1),动物/鸟类/火烈鸟,Animal/Birds/Flamingo,PICK_ANN_E,
T1663,1000,676528,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/003032962502a575858aaa860e540004.jpg,,,false,,REVIEW_SUBLEVEL,,,,,,OVERRIDE,旅游/自然风光/湖泊,Travel/Natural Scenery/Lake,false,,OVERRIDE,旅游/自然风光/雪山,Travel/Natural Scenery/Snow Mountain,false,,,,,,,OVERRIDE,旅游/热门目的地/欧洲,Travel/Popular Destinations/Europe,false,,Sandy(R2),旅游/自然风光/雪山,Travel/Natural Scenery/Snow Mountain,PICK_ANN_C,,Upasna(R1),旅游/热门目的地/欧洲,Travel/Popular Destinations/Europe,PICK_ANN_E,
T1703,1000,83624,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/69d0f6b67f2ac9633098e3d773b8603f.png,,,false,,REVIEW_UNCERTAIN,UNCERTAIN,美食/料理,Food/Cuisine,true,Egg is not there under food tree,,,,,,UNCERTAIN,,,true,should be egg under food,,,,,,UNCERTAIN,美食,Food,true,Suggest to add 'Food Ingredients' category on L2,Sandy(R2),美食,Food,PICK_ANN_E,"need to be more exact, add new taxo L2 L3: Food/Raw materials/Egg",Upasna(R1),,,FLAGGED,Photography
T1738,1000,1126012800399,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/29/2516145ba9584b5585996da92282304b.png,,,false,,REVIEW_UNCERTAIN,UNCERTAIN,静物,Still Life,true,Not sure where to put the festival of mexico image,UNCERTAIN,二次元,ACG,true,Art & Culture -> Carnival,OVERRIDE,绘画/素描,Painting/Sketch,false,,,,,,,,,,,,Sandy(R2),,,FLAGGED,this should be a 'Clown' ? but there ain't no items can represent this in the taxo tree,Upasna(R1),,,FLAGGED,Photography
T1774,1000,1126012900416,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/29/25761f98a2b2dfbad73e3219afa492db.png,,,false,,REVIEW_UNCERTAIN,UNCERTAIN,动物/鸟类,Animal/Birds,true,There is no Great Cormorant bird under animal tree,UNCERTAIN,动物/鸟类,Animal/Birds,true,This bird named as  Great Cormorant is not in our list,,,,,,,,,,,OVERRIDE,动物/鸟类/大雁,Animal/Birds/Wild Geese,false,,Sandy(R2),动物/鸟类/海鸥,Animal/Birds/Seagull,NEW_PATH,,Upasna(R1),动物/鸟类,Animal/Birds,PICK_ANN_A,
